,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TTC3P1,3.447668867,-0.773075178,0.328134721,-2.355968842,0.018474467,0.99722229
HBG1,6775.00479,-0.77224136,0.277902767,-2.77881853,NA,NA
DEFA3,250.1045363,-0.77102496,0.292756179,-2.633676127,NA,NA
C1orf115,21.59785424,-0.767607527,0.224528951,-3.41874633,0.000629103,0.99722229
AC003973.3,9.644755459,-0.764770822,0.320017777,-2.389776063,0.016858649,0.99722229
SH2D4A,4.82904746,-0.764514952,0.312046485,-2.45000341,0.014285486,0.99722229
LPL,10.48690303,-0.763520048,0.32790608,-2.328471762,0.019887067,0.99722229
PDZK1IP1,450.284211,-0.761144714,0.32789363,-2.321315956,0.020269798,0.99722229
SAMSN1,450.7024041,-0.760630798,0.314608848,-2.417703139,0.015618813,0.99722229
RAB3IL1,32.79427313,-0.759835297,0.328130392,-2.315650473,0.020577361,0.99722229
PGLYRP1,351.896691,-0.759580442,0.314320433,-2.416579902,NA,NA
RETN,191.0641638,-0.757903398,0.30886686,-2.45381909,NA,NA
GYPA,26.28433182,-0.756879285,0.32811412,-2.306756211,0.021068415,0.99722229
STRADBP1,4.702801129,-0.754507591,0.321994205,-2.343233448,0.019117417,0.99722229
RHCE,6.761965427,-0.753919965,0.317964691,-2.371080774,0.017736155,0.99722229
SLC12A1,10.20031692,-0.752993949,0.293984154,-2.561341957,NA,NA
BBOF1,93.77647561,-0.751175896,0.306987646,-2.44692549,0.014408062,0.99722229
NCOA4P4,3.390504358,-0.748381183,0.32691389,-2.289230304,0.022065975,0.99722229
CYP4F2,1.892622279,-0.745673418,0.314224608,-2.373058631,0.017641463,0.99722229
ELANE,130.6672879,-0.744098874,0.275540633,-2.700505067,NA,NA
NFIX,166.2725956,-0.743934946,0.317418313,-2.343705189,0.019093257,0.99722229
GET4,7.274318871,-0.742667169,0.328093113,-2.26358658,0.023599554,0.99722229
HK2P1,1.112198327,-0.74223977,0.269458822,-2.754557321,0.005877159,0.99722229
FLT4,18.15815629,-0.741825498,0.326020465,-2.275395496,0.022882215,0.99722229
BEX1,5.892304438,-0.74152921,0.309004937,-2.399732563,NA,NA
SLC2A1,447.9086913,-0.740291348,0.291746319,-2.537448808,0.01116637,0.99722229
PTX3,20.15666899,-0.739708972,0.309628676,-2.389019586,0.016893402,0.99722229
SYNM,19.28573658,-0.739440605,0.281952515,-2.622571414,0.008726898,0.99722229
HBA2,252291.618,-0.738507282,0.296064482,-2.494413635,0.012616543,0.99722229
OPLAH,94.08994839,-0.73826121,0.321211129,-2.298367472,NA,NA
EPX,2.709653595,-0.736646568,0.319146986,-2.308173348,0.020989497,0.99722229
SEMA6B,18.20967892,-0.733499999,0.314004201,-2.335956003,NA,NA
TGM2,58.9443792,-0.731525075,0.314070675,-2.32917344,0.019849879,0.99722229
RNASE3,27.76463333,-0.731358507,0.327313958,-2.234425052,0.025455119,0.99722229
SLFN14,15.26167149,-0.731169589,0.320022378,-2.284745192,0.022327773,0.99722229
CEBPE,61.78788852,-0.730544105,0.327513286,-2.230578536,NA,NA
HGF,77.81914065,-0.730378074,0.310548746,-2.351895104,0.018678041,0.99722229
BX640514.2,3.333479561,-0.729658591,0.310171347,-2.352437119,0.018650843,0.99722229
DHRS4L1,2.031381662,-0.729612987,0.317749456,-2.296189568,0.021665045,0.99722229
COL17A1,13.90767474,-0.727538351,0.304327501,-2.390642809,NA,NA
LHFPL6,2.109912918,-0.726153676,0.325968811,-2.227678389,0.025901969,0.99722229
SSPN,9.975434862,-0.725504831,0.268804702,-2.699003496,0.006954745,0.99722229
AC009962.1,5.715638204,-0.724806592,0.304322356,-2.381706693,0.017232617,0.99722229
RHAG,16.7223492,-0.724481537,0.328096245,-2.208137241,0.027234708,0.99722229
ACHE,7.036134355,-0.723360602,0.323269895,-2.237636763,0.025244752,0.99722229
AC123912.4,57.43994433,-0.722779462,0.321116813,-2.250830331,0.024396286,0.99722229
CYSTM1,469.8511507,-0.722066128,0.324452847,-2.225488648,0.026048452,0.99722229
TNS1,568.5914633,-0.720628638,0.327571444,-2.199912873,0.027813077,0.99722229
AC243725.1,3.054652078,-0.720623995,0.284495346,-2.532990456,0.011309403,0.99722229
RGMB,12.61014971,-0.720486509,0.292636141,-2.462055801,0.013814317,0.99722229
LDHD,11.43255137,-0.719452181,0.302570544,-2.377799808,0.017416278,0.99722229
GNG10,20.85351881,-0.717944352,0.290460117,-2.471748477,0.013445408,0.99722229
DHRS13,76.64220779,-0.71687136,0.278637855,-2.572770883,0.010088797,0.99722229
TSPAN5,344.2497034,-0.716333582,0.322522141,-2.221036916,0.026348461,0.99722229
TESC,794.6547777,-0.715342637,0.316197042,-2.262331845,0.023676908,0.99722229
LINC00694,112.5027876,-0.713676379,0.314637734,-2.268247901,0.023314101,0.99722229
BNIP3L,1995.38275,-0.711905989,0.302933102,-2.350043572,0.018771214,0.99722229
3-Mar,28.43944038,-0.711690246,0.306554745,-2.321576348,0.020255759,0.99722229
LINC00514,3.847629123,-0.710924061,0.326252444,-2.179061259,0.029327118,0.99722229
ARHGAP24,56.96885257,-0.71059135,0.280058435,-2.537296724,0.011171222,0.99722229
HP,301.9740886,-0.710543148,0.269493365,-2.636588649,NA,NA
ADAMTS2,73.07944476,-0.710222573,0.253939376,-2.796819405,NA,NA
ATP6V0C,3.94706882,-0.709452077,0.326309401,-2.174169894,0.029692378,0.99722229
LIMS2,15.45393666,-0.70931841,0.300174521,-2.36302005,0.018126689,0.99722229
LYPD3,6.832325021,-0.709285556,0.322948848,-2.196278332,0.028072028,0.99722229
UBA52,15126.77516,-0.70812485,0.285892086,-2.476895601,0.013253066,0.99722229
HSD3B7,14.01468503,-0.707077184,0.328067572,-2.155279105,NA,NA
FAM156B,1.505149766,-0.706762053,0.302606038,-2.335584766,0.019512893,0.99722229
ANK1,336.0026831,-0.70546495,0.327306977,-2.155361783,0.031133535,0.99722229
CD163,1148.190956,-0.705458923,0.324107395,-2.176620881,0.029508866,0.99722229
FILIP1L,9.522168965,-0.705430859,0.327466227,-2.154209503,0.031223746,0.99722229
ADAM23,7.971640448,-0.705128422,0.326759814,-2.157941066,0.030932414,0.99722229
ID1,3.9777615,-0.704953097,0.296699681,-2.375981984,NA,NA
AMPH,9.943612283,-0.703461949,0.321103948,-2.190760819,NA,NA
PADI4,971.4457552,-0.702848254,0.320336817,-2.194091398,0.02822884,0.99722229
MEMO1,9.560286169,-0.701391924,0.28623464,-2.450408949,0.014269405,0.99722229
RGPD3,1.133946008,-0.699030212,0.298089281,-2.345036389,0.019025223,0.99722229
PQLC1,444.8889076,-0.69777337,0.270829382,-2.576431567,0.009982596,0.99722229
ABCG2,13.34128728,-0.697597964,0.326954575,-2.133623497,0.032873613,0.99722229
TEX45,1.840249564,-0.696163883,0.310591682,-2.241411873,0.024999408,0.99722229
ANKRD55,32.93399434,-0.695907714,0.296144715,-2.349890709,0.018778924,0.99722229
SUCNR1,26.3784911,-0.693291522,0.32477107,-2.134708372,0.032784839,0.99722229
SLC25A37,15792.0107,-0.691755266,0.292183654,-2.36753582,0.017906987,0.99722229
PODNL1,2.257562733,-0.68954837,0.327973303,-2.10245274,0.035513635,0.99722229
AC099336.1,10.00457106,-0.689096599,0.325182747,-2.119105657,0.034081539,0.99722229
AC091825.1,6.640578595,-0.688939101,0.298743008,-2.306126275,0.021103578,0.99722229
